Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Jakob Poeltl;1906.1;897;0;653;197;125;66;86
Tre Jones;1983.7;875;45;245;448;110;89;9
Wendell Carter Jr.;1689.5;868;80;497;132;106;30;33
Mason Plumlee;2052.9;857;0;700;245;117;46;47
Eric Gordon;1965.5;856;132;134;183;104;43;25
Kelly Olynyk;1941.6;847;93;420;252;168;60;37
LaMelo Ball;1267.8;838;144;231;304;129;46;11
Markelle Fultz;1777.9;837;27;234;341;139;87;26
Austin Reaves;1843.2;833;86;193;215;99;33;19
Patrick Williams;2322.8;833;115;327;100;101;72;70
Dennis Schroder;1985.9;830;74;165;298;112;50;10
Kentavious Caldwell-Pope;2381.2;822;135;208;183;86;112;35
Tyus Jones;1939.4;822;121;200;417;74;83;6
Corey Kispert;2093.3;820;163;207;87;55;32;9
Chris Paul;1888.6;819;98;251;524;114;91;22
Ivica Zubac;2169.4;818;0;756;77;117;29;98
Quentin Grimes;2120.9;799;157;229;150;69;47;26
Mike Conley;2028.1;798;135;182;450;103;73;14
Onyeka Okongwu;1848.6;791;4;576;81;81;56;107
Shaedon Sharpe;1778.6;789;102;236;94;83;38;24
Killian Hayes;2153.6;786;80;221;470;173;104;28
Cole Anthony;1551.8;781;75;288;235;91;37;31
Naz Reid;1250.9;781;75;333;77;92;42;53
De'Anthony Melton;2149.8;780;157;312;197;102;126;41
Clint Capela;1730.1;779;0;717;58;54;45;79
Tari Eason;1767.2;760;59;496;88;101;96;47
Bogdan Bogdanovic;1508.6;756;146;165;150;65;43;18
Jalen McDaniels;1912.9;755;77;346;130;93;83;34
Zion Williamson;956.1;754;7;202;133;99;32;16
Grayson Allen;1972.1;750;146;237;163;72;62;14
Josh Hart;2454;743;61;593;290;117;88;21
Aaron Nesmith;1816.4;738;115;277;98;75;55;34
Gordon Hayward;1576.9;733;52;215;206;99;42;12
Zach Collins;1440.6;731;55;402;180;129;37;49
Marcus Morris Sr.;1825.1;728;112;258;114;56;42;21
Coby White;1730.2;715;128;212;204;74;54;6
Terance Mann;1872.2;713;77;276;184;80;42;22
Chris Boucher;1523.5;712;62;421;29;41;47;64
Andrew Nembhard;2073.5;709;92;199;341;126;70;13
Rui Hachimura;1466;707;51;283;58;53;19;26
Daniel Gafford;1604.2;705;0;433;84;85;33;99
Jaylen Nowell;1251.7;704;67;170;132;65;42;5
Devin Vassell;1178.1;703;103;148;136;57;43;17
Marcus Smart;1956.8;703;115;191;382;143;93;23
Naji Marshall;1792;698;66;279;189;97;54;14
Talen Horton-Tucker;1313.2;698;58;210;246;126;41;29
Deni Avdija;2020.4;697;69;487;211;123;65;29
Santi Aldama;1681.7;696;94;371;97;60;45;48
Jusuf Nurkic;1391.4;694;43;471;149;119;43;44
Reggie Jackson;1656.9;693;96;144;233;115;47;6
Isaiah Joe;1395.3;691;161;175;88;39;48;8
